,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
14181,1213.0,1011.0,795.0,-0.11960133,2584.0,2598.0,2340.0,-0.052247874,3636.0,3658.0,2946.0,-0.10781345,3874.0,3846.0,3160.0,-0.097916074,4280.0,4400.0,3632.0,-0.09561753
18052,1194.0,958.0,803.0,-0.08801817,2584.0,2610.0,2314.0,-0.060113728,3612.0,3612.0,2936.0,-0.10323763,3920.0,3866.0,3100.0,-0.10996268,4648.0,4836.0,4040.0,-0.08968004
18053,1181.0,969.0,800.0,-0.0955342,2602.0,2614.0,2350.0,-0.05318292,3658.0,3620.0,2936.0,-0.10433191,3888.0,3830.0,3144.0,-0.09836536,4648.0,4836.0,4040.0,-0.08968004
18054,1173.0,970.0,789.0,-0.10289937,2602.0,2614.0,2350.0,-0.05318292,3658.0,3620.0,2936.0,-0.10433191,3888.0,3830.0,3144.0,-0.09836536,4804.0,4972.0,4140.0,-0.09130816
18055,1210.0,998.0,798.0,-0.111358576,2602.0,2614.0,2350.0,-0.05318292,3658.0,3620.0,2936.0,-0.10433191,3888.0,3830.0,3144.0,-0.09836536,4804.0,4972.0,4140.0,-0.09130816
18056,1225.0,1010.0,798.0,-0.117256634,2558.0,2598.0,2362.0,-0.047580644,3578.0,3610.0,2914.0,-0.106683016,3866.0,3836.0,3176.0,-0.09412436,4804.0,4972.0,4140.0,-0.09130816
18057,1216.0,998.0,794.0,-0.11383928,2558.0,2598.0,2362.0,-0.047580644,3578.0,3610.0,2914.0,-0.106683016,3866.0,3836.0,3176.0,-0.09412436,4768.0,4960.0,4090.0,-0.0961326
18058,1221.0,981.0,779.0,-0.11477273,2558.0,2598.0,2362.0,-0.047580644,3578.0,3610.0,2914.0,-0.106683016,3866.0,3836.0,3176.0,-0.09412436,4768.0,4960.0,4090.0,-0.0961326
18059,1236.0,969.0,784.0,-0.10553337,2572.0,2610.0,2342.0,-0.054119546,3602.0,3610.0,2892.0,-0.11042756,3930.0,3884.0,3176.0,-0.10028329,4768.0,4960.0,4090.0,-0.0961326
18060,1229.0,976.0,779.0,-0.112250715,2572.0,2610.0,2342.0,-0.054119546,3602.0,3610.0,2892.0,-0.11042756,3930.0,3884.0,3176.0,-0.10028329,4596.0,4752.0,3916.0,-0.0964467
