 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
1445,1587,2203,0.162533,1670,1838,2565,0.165115,962,839,2141,0.436913,689,566,3285,0.70605,777,572,2902,0.670697
1453,1589,2200,0.161256,1670,1838,2565,0.165115,973,831,2155,0.443403,693,563,3272,0.706389,770,563,2913,0.676064
1462,1591,2197,0.159979,1670,1838,2565,0.165115,983,823,2169,0.449866,697,563,3269,0.706159,762,555,2923,0.680851
1460,1586,2210,0.164384,1280,1358,2186,0.233634,958,814,2173,0.454972,701,561,3282,0.708041,767,565,2915,0.675287
1453,1579,2231,0.171129,1280,1358,2186,0.233634,933,806,2178,0.459786,702,553,3303,0.713174,772,575,2907,0.66973
1446,1571,2253,0.178347,1280,1358,2186,0.233634,907,798,2182,0.46443,706,547,3332,0.717969,777,585,2898,0.664083
1441,1566,2267,0.182885,1114,1136,1876,0.245684,892,784,2188,0.472409,713,547,3356,0.719703,779,581,2915,0.66762
1439,1566,2269,0.183312,1114,1136,1876,0.245684,881,767,2196,0.482281,717,550,3356,0.718382,780,570,2943,0.675491
1436,1566,2270,0.183525,1114,1136,1876,0.245684,870,751,2203,0.491537,706,548,3348,0.718686,781,560,2972,0.682899
1434,1566,2271,0.183737,1114,1136,1876,0.245684,863,736,2208,0.5,697,544,3349,0.720524,781,550,2991,0.689353
1394,1470,2324,0.225092,1106,1082,1864,0.265445,861,724,2208,0.506139,700,540,3353,0.722579,781,540,2994,0.694397
1355,1374,2377,0.267395,1106,1082,1864,0.265445,859,713,2208,0.511811,718,529,3384,0.729619,780,530,2996,0.699376
1354,1503,2116,0.169384,1656,1786,2425,0.151745,924,809,2052,0.434463,677,535,3428,0.730003,735,506,3112,0.720287
1359,1497,2120,0.172242,1656,1786,2425,0.151745,920,799,2031,0.435336,678,532,3493,0.735652,748,511,3125,0.718922
1364,1490,2124,0.175429,1656,1786,2425,0.151745,916,789,2009,0.436026,677,543,3491,0.730788,761,517,3138,0.7171
1372,1494,2148,0.179572,1704,1840,2447,0.141591,914,799,2013,0.431721,679,564,3430,0.717576,759,546,3079,0.698759
1381,1503,2182,0.184261,1704,1840,2447,0.141591,913,809,2018,0.427662,676,551,3427,0.722976,757,575,3020,0.680111
1391,1511,2216,0.18916,1704,1840,2447,0.141591,912,819,2022,0.423442,690,552,3422,0.722194,755,604,2961,0.66115
1398,1518,2247,0.193625,1674,1814,2501,0.159212,916,820,2061,0.430753,703,549,3395,0.721602,764,609,2935,0.656321
1399,1520,2272,0.198312,1674,1814,2501,0.159212,923,818,2118,0.442779,708,547,3366,0.720419,778,604,2927,0.657887
1400,1523,2296,0.202409,1674,1814,2501,0.159212,929,815,2174,0.454667,704,547,3352,0.719415,792,597,2917,0.660216
1402,1526,2321,0.206655,1674,1814,2501,0.159212,936,810,2222,0.465699,698,557,3340,0.714139,798,589,2918,0.6641
1402,1520,2329,0.210184,1670,1838,2565,0.165115,941,801,2252,0.47527,696,566,3324,0.708997,788,577,2938,0.671693
1403,1515,2338,0.2136,1670,1838,2565,0.165115,947,792,2281,0.484543,700,560,3312,0.710744,778,564,2958,0.679727
1403,1509,2347,0.217324,1670,1838,2565,0.165115,952,783,2311,0.493859,702,551,3306,0.714286,769,552,2978,0.687252
1400,1495,2366,0.225589,1280,1358,2186,0.233634,931,776,2329,0.500161,704,549,3319,0.716132,774,563,2962,0.680567
1394,1476,2390,0.23642,1280,1358,2186,0.233634,910,769,2348,0.506577,707,549,3353,0.718606,779,575,2947,0.673481
1389,1457,2413,0.247028,1280,1358,2186,0.233634,889,762,2367,0.512943,713,548,3388,0.721545,784,587,2933,0.666477
1383,1442,2435,0.256126,1114,1136,1876,0.245684,874,746,2389,0.524083,722,547,3389,0.722053,784,585,2939,0.667991
1374,1437,2454,0.261372,1114,1136,1876,0.245684,862,726,2414,0.53758,724,547,3363,0.720205,783,578,2956,0.672892
1365,1431,2472,0.266718,1114,1136,1876,0.245684,850,706,2439,0.551033,709,546,3354,0.72,781,570,2973,0.678239
1357,1425,2491,0.272217,1114,1136,1876,0.245684,840,688,2457,0.56248,699,543,3373,0.722676,780,560,2988,0.684329
1314,1351,2531,0.303967,1106,1082,1864,0.265445,836,677,2463,0.56879,705,538,3390,0.726069,778,545,2998,0.692351
